Description,Amount,Transaction Type,Account Name,Category
Gas Company,180.19,credit,Platinum Card,Transportation
Grocery Store,148.24,debit,Platinum Card,Shopping
Gas Company,84.81,debit,Silver Card,Transportation
American Tavern,106.72,credit,Checking,Housing
Brewing Company,36.99,credit,Silver Card,Food & Drink
Greek Restaurant,196.62,debit,Silver Card,Utilities & Services
Pizza Place,148.17,debit,Platinum Card,Entertainment
Amazon,162.94,debit,Checking,Transportation
Phone Company,95.24,credit,Checking,Credit Card Payment
Credit Card Payment,118.23,credit,Platinum Card,Credit Card Payment
Spotify,161.34,debit,Platinum Card,Shopping
Barbershop,116.37,credit,Checking,Transportation
Grocery Store,163.74,credit,Silver Card,Food & Drink
Brewing Company,73.16,credit,Platinum Card,Credit Card Payment
Grocery Store,95.85,credit,Silver Card,Entertainment
Thai Restaurant,26.67,debit,Silver Card,Food & Drink
Starbucks,106.83,credit,Platinum Card,Food & Drink
Credit Card Payment,60.42,debit,Silver Card,Food & Drink
Spotify,89.4,debit,Silver Card,Shopping
Best Buy,109.33,credit,Platinum Card,Transportation
Credit Card Payment,110.22,credit,Platinum Card,Transportation
Gas Company,68.49,debit,Platinum Card,Paycheck
Credit Card Payment,83.41,debit,Silver Card,Utilities & Services
New York Deli,149.43,debit,Platinum Card,Food & Drink
American Tavern,36.44,debit,Silver Card,Food & Drink
Credit Card Payment,35.79,credit,Platinum Card,Shopping
Credit Card Payment,185.66,debit,Silver Card,Credit Card Payment
Biweekly Paycheck,116.37,credit,Checking,Food & Drink
Grocery Store,162.1,credit,Platinum Card,Transportation
City Water Charges,154.14,credit,Silver Card,Credit Card Payment
Mediterranean Restaurant,88.41,debit,Silver Card,Food & Drink
Netflix,125.61,credit,Silver Card,Credit Card Payment
Hardware Store,179.28,debit,Platinum Card,Shopping
Credit Card Payment,76.87,debit,Platinum Card,Paycheck
Amazon,9.95,debit,Silver Card,Food & Drink
QuikTrip,88.98,credit,Checking,Food & Drink
Credit Card Payment,87.01,credit,Checking,Utilities & Services
Grocery Store,143.4,debit,Checking,Food & Drink
Biweekly Paycheck,2000.0,credit,Checking,Paycheck
Internet Service Provider,160.12,debit,Platinum Card,Transportation
Amazon,179.38,credit,Checking,Credit Card Payment
Biweekly Paycheck,38.42,debit,Silver Card,Transportation
Biweekly Paycheck,58.47,debit,Platinum Card,Paycheck
Biweekly Paycheck,53.59,debit,Checking,Utilities & Services
Grocery Store,101.62,debit,Checking,Utilities & Services
Grocery Store,109.82,debit,Checking,Food & Drink
Chick-Fil-A,152.91,credit,Platinum Card,Food & Drink
Netflix,48.99,credit,Checking,Credit Card Payment
Brewing Company,105.32,debit,Silver Card,Food & Drink
Amazon,43.27,debit,Checking,Utilities & Services
Power Company,68.84,credit,Platinum Card,Food & Drink
City Water Charges,125.76,credit,Platinum Card,Food & Drink
Power Company,91.63,credit,Platinum Card,Food & Drink
Amazon,198.13,debit,Silver Card,Transportation
Power Company,89.99,debit,Platinum Card,Transportation
Biweekly Paycheck,166.11,credit,Checking,Shopping
American Tavern,31.68,credit,Checking,Food & Drink
Starbucks,134.03,credit,Silver Card,Food & Drink
Biweekly Paycheck,18.1,credit,Platinum Card,Transportation
City Water Charges,3.88,credit,Silver Card,Food & Drink
Power Company,193.08,debit,Silver Card,Food & Drink
Credit Card Payment,39.08,credit,Platinum Card,Credit Card Payment
Mediterranean Restaurant,147.55,debit,Checking,Transportation
Amazon,184.42,credit,Silver Card,Entertainment
Gas Company,118.45,debit,Silver Card,Utilities & Services
Netflix,125.24,debit,Checking,Shopping
Gas Company,31.57,credit,Platinum Card,Paycheck
Grocery Store,160.4,credit,Silver Card,Food & Drink
Credit Card Payment,99.36,credit,Platinum Card,Food & Drink
Starbucks,6.22,debit,Silver Card,Food & Drink
Credit Card Payment,99.5,credit,Platinum Card,Paycheck
Greek Restaurant,47.11,credit,Platinum Card,Paycheck
Shell,108.17,debit,Checking,Housing
Credit Card Payment,118.99,credit,Checking,Food & Drink
Amazon,162.8,debit,Checking,Entertainment
Hardware Store,27.44,debit,Silver Card,Haircut
City Water Charges,76.02,credit,Platinum Card,Credit Card Payment
Brewing Company,6.6,debit,Silver Card,Food & Drink
Grocery Store,37.58,credit,Platinum Card,Paycheck
City Water Charges,51.33,debit,Platinum Card,Entertainment
Grocery Store,161.39,debit,Platinum Card,Transportation
Mediterranean Restaurant,153.31,credit,Platinum Card,Utilities & Services
Credit Card Payment,186.04,credit,Checking,Food & Drink
Grocery Store,81.54,credit,Platinum Card,Shopping
Credit Card Payment,82.15,credit,Platinum Card,Food & Drink
Grocery Store,53.96,debit,Checking,Utilities & Services
Brewing Company,35.52,debit,Platinum Card,Credit Card Payment
Grocery Store,192.36,debit,Checking,Food & Drink
Credit Card Payment,58.83,debit,Platinum Card,Utilities & Services
Gas Company,148.89,credit,Platinum Card,Credit Card Payment
Barbershop,99.5,credit,Checking,Shopping
Credit Card Payment,108.11,credit,Platinum Card,Credit Card Payment
Biweekly Paycheck,3.45,debit,Checking,Credit Card Payment
Starbucks,2.75,debit,Platinum Card,Food & Drink
Biweekly Paycheck,54.53,debit,Silver Card,Food & Drink
Credit Card Payment,63.3,debit,Checking,Food & Drink
Grocery Store,8.61,credit,Platinum Card,Shopping
Credit Card Payment,363.08,credit,Platinum Card,Credit Card Payment
American Tavern,109.36,credit,Platinum Card,Food & Drink
Netflix,19.09,credit,Silver Card,Housing
Brunch Restaurant,184.43,debit,Platinum Card,Food & Drink
Biweekly Paycheck,25.5,debit,Checking,Utilities & Services
Internet Service Provider,73.12,credit,Checking,Food & Drink
Amazon,16.24,credit,Silver Card,Transportation
Credit Card Payment,194.38,credit,Checking,Credit Card Payment
Grocery Store,61.37,debit,Checking,Utilities & Services
Barbershop,151.99,debit,Platinum Card,Utilities & Services
Credit Card Payment,50.59,credit,Checking,Food & Drink
Japanese Restaurant,123.34,debit,Platinum Card,Food & Drink
Credit Card Payment,190.92,debit,Platinum Card,Utilities & Services
Credit Card Payment,105.69,debit,Silver Card,Food & Drink
Gas Company,45.0,debit,Checking,Utilities & Services
Power Company,25.27,credit,Checking,Food & Drink
Amazon,146.84,credit,Platinum Card,Shopping
Power Company,2.3,credit,Checking,Credit Card Payment
Amazon,100.35,debit,Silver Card,Housing
Biweekly Paycheck,93.4,debit,Checking,Paycheck
Mortgage Payment,120.7,debit,Platinum Card,Credit Card Payment
Credit Card Payment,132.82,credit,Checking,Transportation
Biweekly Paycheck,148.35,debit,Checking,Transportation
Bakery Place,127.95,credit,Checking,Food & Drink
Biweekly Paycheck,151.88,debit,Platinum Card,Utilities & Services
State Farm,188.6,credit,Platinum Card,Food & Drink
Starbucks,87.9,credit,Silver Card,Housing
Credit Card Payment,168.26,debit,Silver Card,Credit Card Payment
Credit Card Payment,134.38,debit,Checking,Paycheck
Power Company,51.03,debit,Platinum Card,Transportation
BP,20.16,debit,Silver Card,Food & Drink
Shell,155.88,debit,Checking,Transportation
Grocery Store,35.5,debit,Checking,Food & Drink
BP,21.84,debit,Platinum Card,Food & Drink
Spotify,138.95,debit,Platinum Card,Food & Drink
Pizza Place,101.02,credit,Checking,Housing
Credit Card Payment,133.18,credit,Platinum Card,Transportation
Grocery Store,105.1,credit,Silver Card,Paycheck
Barbershop,30.0,debit,Platinum Card,Haircut
Credit Card Payment,1.57,debit,Platinum Card,Food & Drink
Grocery Store,26.74,debit,Checking,Utilities & Services
Hardware Store,45.24,debit,Platinum Card,Housing
Pizza Place,188.38,credit,Platinum Card,Shopping
BP,20.18,debit,Platinum Card,Food & Drink
Credit Card Payment,149.18,debit,Checking,Utilities & Services
Gas Company,136.67,credit,Checking,Transportation
City Water Charges,165.14,credit,Platinum Card,Food & Drink
Credit Card Payment,189.77,debit,Silver Card,Food & Drink
Credit Card Payment,197.27,debit,Silver Card,Shopping
Phone Company,65.0,debit,Checking,Utilities & Services
Grocery Store,30.41,debit,Silver Card,Entertainment
Biweekly Paycheck,105.18,credit,Checking,Food & Drink
Bakery Place,92.25,credit,Checking,Utilities & Services
Brewing Company,182.73,credit,Platinum Card,Credit Card Payment
Netflix,98.05,credit,Checking,Utilities & Services
Spotify,22.66,debit,Checking,Food & Drink
Thai Restaurant,48.62,credit,Silver Card,Food & Drink
Credit Card Payment,120.72,debit,Silver Card,Food & Drink
Internet Service Provider,146.89,credit,Silver Card,Utilities & Services
Spotify,116.52,credit,Checking,Food & Drink
Mortgage Payment,112.65,debit,Platinum Card,Food & Drink
Spotify,7.96,credit,Platinum Card,Housing
Hardware Store,40.66,credit,Checking,Credit Card Payment
Grocery Store,10.87,credit,Platinum Card,Food & Drink
Grocery Store,5.93,credit,Checking,Food & Drink
Starbucks,84.96,debit,Platinum Card,Entertainment
Biweekly Paycheck,9.48,credit,Checking,Credit Card Payment
Mortgage Payment,73.64,credit,Platinum Card,Entertainment
Brunch Restaurant,39.43,debit,Platinum Card,Food & Drink
Chick-Fil-A,157.94,debit,Platinum Card,Credit Card Payment
BP,68.87,debit,Checking,Paycheck
Credit Card Payment,46.07,debit,Platinum Card,Haircut
State Farm,199.95,debit,Platinum Card,Transportation
Biweekly Paycheck,97.05,debit,Silver Card,Transportation
American Tavern,121.82,credit,Silver Card,Food & Drink
Grocery Store,10.18,debit,Platinum Card,Food & Drink
Shell,121.71,credit,Silver Card,Credit Card Payment
Starbucks,128.63,debit,Checking,Housing
American Tavern,150.45,debit,Platinum Card,Food & Drink
Netflix,154.75,credit,Platinum Card,Transportation
Internet Service Provider,74.92,debit,Platinum Card,Food & Drink
Gas Company,1.38,credit,Silver Card,Paycheck
Fancy Restaurant,39.42,debit,Checking,Food & Drink
Starbucks,163.24,debit,Checking,Shopping
American Tavern,16.8,credit,Platinum Card,Credit Card Payment
Credit Card Payment,92.9,debit,Platinum Card,Food & Drink
Gas Company,28.21,credit,Silver Card,Food & Drink
City Water Charges,181.29,credit,Silver Card,Utilities & Services
Greek Restaurant,79.07,debit,Platinum Card,Utilities & Services
Phone Company,199.37,credit,Platinum Card,Food & Drink
Credit Card Payment,77.88,credit,Platinum Card,Food & Drink
Biweekly Paycheck,67.46,credit,Platinum Card,Food & Drink
Brewing Company,168.62,credit,Silver Card,Utilities & Services
Mortgage Payment,127.87,debit,Platinum Card,Food & Drink
Credit Card Payment,62.34,credit,Platinum Card,Entertainment
Credit Card Payment,165.52,credit,Checking,Food & Drink
Movie Theater,136.7,debit,Silver Card,Utilities & Services
Credit Card Payment,31.25,credit,Checking,Credit Card Payment
Power Company,155.47,credit,Checking,Paycheck
Hardware Store,104.75,credit,Silver Card,Utilities & Services
Grocery Store,15.69,debit,Checking,Credit Card Payment
Grocery Store,9.09,debit,Silver Card,Food & Drink
Grocery Store,100.84,credit,Checking,Utilities & Services
Phone Company,163.33,debit,Checking,Food & Drink
Belgian Restaurant,66.85,debit,Silver Card,Food & Drink
Biweekly Paycheck,32.85,debit,Platinum Card,Food & Drink
Brewing Company,35.13,debit,Silver Card,Food & Drink
Grocery Store,109.24,debit,Silver Card,Utilities & Services
Credit Card Payment,53.76,debit,Platinum Card,Food & Drink
City Water Charges,75.11,credit,Platinum Card,Utilities & Services
Gas Company,36.12,debit,Platinum Card,Shopping
Internet Service Provider,106.55,credit,Checking,Housing
Phone Company,45.92,debit,Checking,Transportation
Credit Card Payment,132.31,debit,Platinum Card,Credit Card Payment
Biweekly Paycheck,26.48,credit,Platinum Card,Shopping
Credit Card Payment,148.77,credit,Platinum Card,Food & Drink
BP,148.15,debit,Checking,Shopping
Credit Card Payment,171.64,debit,Platinum Card,Credit Card Payment
Credit Card Payment,124.03,debit,Checking,Credit Card Payment
Power Company,27.82,debit,Platinum Card,Credit Card Payment
Grocery Store,98.48,credit,Platinum Card,Food & Drink
Amazon,45.1,credit,Platinum Card,Utilities & Services
Grocery Store,90.1,debit,Silver Card,Housing
American Tavern,36.14,credit,Platinum Card,Utilities & Services
Credit Card Payment,15.46,credit,Silver Card,Shopping
Barbershop,158.59,credit,Checking,Credit Card Payment
Roadside Diner,45.27,credit,Silver Card,Food & Drink
Starbucks,97.26,debit,Silver Card,Credit Card Payment
Brunch Restaurant,41.52,debit,Platinum Card,Housing
State Farm,46.75,credit,Platinum Card,Transportation
Mortgage Payment,173.82,credit,Silver Card,Credit Card Payment
State Farm,75.0,debit,Checking,Transportation
Greek Restaurant,21.56,debit,Silver Card,Shopping
Credit Card Payment,97.86,credit,Platinum Card,Housing
Brewing Company,100.12,credit,Checking,Entertainment
Hardware Store,18.74,debit,Platinum Card,Transportation
Credit Card Payment,601.4,credit,Platinum Card,Credit Card Payment
Credit Card Payment,143.75,debit,Platinum Card,Food & Drink
Grocery Store,155.36,credit,Platinum Card,Housing
Netflix,94.87,debit,Silver Card,Food & Drink
Starbucks,42.22,debit,Checking,Credit Card Payment
QuikTrip,84.58,debit,Platinum Card,Haircut
Grocery Store,167.85,debit,Platinum Card,Food & Drink
City Water Charges,73.24,credit,Platinum Card,Credit Card Payment
Biweekly Paycheck,150.42,credit,Platinum Card,Food & Drink
Biweekly Paycheck,159.83,credit,Checking,Food & Drink
City Water Charges,199.65,debit,Platinum Card,Credit Card Payment
Power Company,7.42,credit,Checking,Utilities & Services
Phone Company,89.46,debit,Checking,Utilities & Services
Biweekly Paycheck,176.24,credit,Silver Card,Shopping
Phone Company,138.73,credit,Silver Card,Food & Drink
Seafood Restaurant,97.43,debit,Silver Card,Shopping
BP,72.14,debit,Checking,Food & Drink
Credit Card Payment,195.55,debit,Platinum Card,Paycheck
Vietnamese Restaurant,73.83,credit,Platinum Card,Food & Drink
Internet Service Provider,64.29,debit,Platinum Card,Food & Drink
Brewing Company,143.22,credit,Checking,Food & Drink
Roadside Diner,152.76,debit,Platinum Card,Paycheck
Credit Card Payment,179.21,credit,Checking,Utilities & Services
Biweekly Paycheck,13.2,debit,Silver Card,Paycheck
Grocery Store,8.87,credit,Checking,Transportation
Phone Company,55.58,credit,Platinum Card,Utilities & Services
Biweekly Paycheck,21.43,debit,Silver Card,Housing
Chick-Fil-A,3.66,debit,Checking,Paycheck
Mexican Restaurant,22.44,debit,Silver Card,Food & Drink
Fancy Restaurant,102.25,debit,Platinum Card,Paycheck
Starbucks,25.35,debit,Checking,Entertainment
Gas Company,50.38,debit,Silver Card,Food & Drink
American Tavern,183.06,debit,Platinum Card,Food & Drink
Biweekly Paycheck,165.83,debit,Checking,Utilities & Services
Amazon,13.09,debit,Platinum Card,Shopping
New York Deli,107.38,credit,Platinum Card,Credit Card Payment
Brewing Company,160.16,credit,Silver Card,Food & Drink
Credit Card Payment,179.89,credit,Silver Card,Shopping
Power Company,61.25,credit,Platinum Card,Food & Drink
American Tavern,81.99,debit,Platinum Card,Utilities & Services
Credit Card Payment,82.49,debit,Silver Card,Utilities & Services
Grocery Store,115.18,debit,Checking,Utilities & Services
Brewing Company,146.7,debit,Platinum Card,Food & Drink
Movie Theater,180.61,credit,Platinum Card,Utilities & Services
Starbucks,170.91,credit,Platinum Card,Paycheck
Credit Card Payment,37.0,debit,Platinum Card,Food & Drink
Credit Card Payment,150.48,credit,Platinum Card,Credit Card Payment
Internet Service Provider,146.03,credit,Platinum Card,Utilities & Services
BP,164.35,credit,Checking,Utilities & Services
Irish Restaurant,28.54,debit,Platinum Card,Food & Drink
American Tavern,195.66,debit,Platinum Card,Food & Drink
Grocery Store,80.12,debit,Platinum Card,Credit Card Payment
Thai Restaurant,74.43,debit,Checking,Food & Drink
Grocery Store,176.36,debit,Platinum Card,Transportation
Spotify,128.94,debit,Silver Card,Food & Drink
Grocery Store,92.04,debit,Silver Card,Food & Drink
Mediterranean Restaurant,30.28,debit,Platinum Card,Credit Card Payment
Amazon,140.26,credit,Silver Card,Food & Drink
Hardware Store,162.19,credit,Platinum Card,Housing
Gas Company,10.97,credit,Platinum Card,Utilities & Services
Belgian Restaurant,36.18,debit,Checking,Shopping
Shell,70.49,debit,Checking,Food & Drink
Amazon,185.1,debit,Silver Card,Transportation
BP,59.39,credit,Silver Card,Utilities & Services
Mediterranean Restaurant,3.46,credit,Platinum Card,Food & Drink
City Water Charges,35.0,debit,Checking,Utilities & Services
Power Company,182.7,credit,Checking,Transportation
Credit Card Payment,148.78,credit,Silver Card,Credit Card Payment
Credit Card Payment,46.45,debit,Platinum Card,Utilities & Services
Mortgage Payment,118.79,debit,Silver Card,Food & Drink
Grocery Store,37.86,credit,Silver Card,Food & Drink
Power Company,55.8,credit,Silver Card,Credit Card Payment
Grocery Store,156.2,debit,Checking,Shopping
Internet Service Provider,46.15,credit,Checking,Utilities & Services
Grocery Store,32.44,debit,Silver Card,Food & Drink
State Farm,45.13,credit,Silver Card,Housing
Grocery Store,67.76,debit,Platinum Card,Food & Drink
Credit Card Payment,182.41,credit,Platinum Card,Utilities & Services
Biweekly Paycheck,9.09,debit,Platinum Card,Housing
Italian Restaurant,30.2,debit,Platinum Card,Credit Card Payment
Mortgage Payment,148.21,credit,Platinum Card,Utilities & Services
Credit Card Payment,119.94,debit,Platinum Card,Shopping
QuikTrip,163.57,credit,Silver Card,Transportation
Grocery Store,160.32,debit,Platinum Card,Transportation
American Tavern,75.02,credit,Checking,Utilities & Services
Phone Company,184.8,debit,Platinum Card,Paycheck
Credit Card Payment,79.96,debit,Checking,Housing
Grocery Store,68.25,credit,Silver Card,Housing
Grocery Store,150.73,credit,Checking,Food & Drink
Amazon,3.59,debit,Checking,Food & Drink
Credit Card Payment,69.65,credit,Platinum Card,Entertainment
Amazon,46.59,debit,Platinum Card,Utilities & Services
Credit Card Payment,301.79,credit,Silver Card,Credit Card Payment
Credit Card Payment,161.45,debit,Silver Card,Utilities & Services
Gas Company,114.66,debit,Checking,Entertainment
Biweekly Paycheck,136.77,debit,Platinum Card,Credit Card Payment
Biweekly Paycheck,2000.0,credit,Checking,Paycheck
Credit Card Payment,147.87,credit,Platinum Card,Utilities & Services
QuikTrip,104.76,credit,Platinum Card,Entertainment
Power Company,45.75,debit,Platinum Card,Housing
Spotify,118.76,debit,Checking,Shopping
Grocery Store,25.98,debit,Platinum Card,Credit Card Payment
Credit Card Payment,191.81,credit,Silver Card,Transportation
Grocery Store,64.78,credit,Silver Card,Food & Drink
Internet Service Provider,184.87,credit,Silver Card,Food & Drink
Biweekly Paycheck,79.78,credit,Checking,Paycheck
Hardware Store,5.43,debit,Checking,Haircut
Credit Card Payment,1.49,debit,Checking,Food & Drink
Hardware Store,145.71,credit,Platinum Card,Haircut
Credit Card Payment,139.91,debit,Platinum Card,Entertainment
Best Buy,44.93,debit,Silver Card,Shopping
Credit Card Payment,172.94,credit,Checking,Transportation
State Farm,149.48,debit,Platinum Card,Food & Drink
Credit Card Payment,125.2,credit,Checking,Utilities & Services
Best Buy,150.59,debit,Checking,Food & Drink
American Tavern,5.47,credit,Platinum Card,Food & Drink
Starbucks,155.09,credit,Platinum Card,Credit Card Payment
Internet Service Provider,123.56,debit,Platinum Card,Entertainment
Shell,126.35,debit,Platinum Card,Utilities & Services
Amazon,18.58,credit,Checking,Credit Card Payment
Credit Card Payment,10.33,debit,Silver Card,Food & Drink
Shell,132.61,credit,Checking,Credit Card Payment
Netflix,101.64,debit,Silver Card,Housing
American Tavern,155.49,credit,Silver Card,Transportation
Starbucks,162.09,credit,Checking,Transportation
Fancy Restaurant,92.33,debit,Platinum Card,Entertainment
City Water Charges,39.04,debit,Checking,Credit Card Payment
Netflix,11.85,debit,Checking,Shopping
Mortgage Payment,1100.0,debit,Checking,Housing
Thai Restaurant,62.71,debit,Checking,Credit Card Payment
Credit Card Payment,120.25,credit,Platinum Card,Credit Card Payment
Amazon,19.26,debit,Checking,Credit Card Payment
Chick-Fil-A,106.3,credit,Silver Card,Transportation
Credit Card Payment,87.84,debit,Checking,Paycheck
Barbershop,127.47,debit,Platinum Card,Food & Drink
Amazon,191.44,debit,Platinum Card,Utilities & Services
Hardware Store,184.84,credit,Checking,Shopping
Phone Company,157.72,debit,Silver Card,Housing
Biweekly Paycheck,68.99,credit,Platinum Card,Utilities & Services
BP,106.73,debit,Platinum Card,Utilities & Services
Credit Card Payment,57.58,debit,Checking,Food & Drink
Credit Card Payment,102.62,credit,Platinum Card,Credit Card Payment
American Tavern,89.35,credit,Silver Card,Entertainment
Amazon,137.22,credit,Checking,Transportation
Grocery Store,114.8,debit,Checking,Food & Drink
State Farm,14.91,credit,Platinum Card,Shopping
Power Company,107.0,credit,Checking,Utilities & Services
Power Company,176.36,credit,Platinum Card,Shopping
Mortgage Payment,10.75,debit,Platinum Card,Transportation
American Tavern,46.39,debit,Checking,Food & Drink
Credit Card Payment,136.76,credit,Silver Card,Food & Drink
Grocery Store,194.09,debit,Checking,Food & Drink
Amazon,97.29,credit,Silver Card,Credit Card Payment
Biweekly Paycheck,172.07,credit,Silver Card,Haircut
Grocery Store,27.41,credit,Platinum Card,Credit Card Payment
Biweekly Paycheck,173.55,debit,Platinum Card,Utilities & Services
Netflix,39.08,debit,Checking,Shopping
Grocery Store,31.13,credit,Checking,Transportation
Netflix,81.91,debit,Platinum Card,Food & Drink
Grocery Store,9.62,debit,Silver Card,Food & Drink
Credit Card Payment,158.36,debit,Platinum Card,Shopping
Gas Company,13.44,credit,Checking,Utilities & Services
QuikTrip,69.7,credit,Silver Card,Food & Drink
Credit Card Payment,24.97,credit,Platinum Card,Paycheck
Biweekly Paycheck,133.78,credit,Platinum Card,Entertainment
Grocery Store,42.6,debit,Silver Card,Credit Card Payment
Credit Card Payment,123.49,debit,Checking,Credit Card Payment
Credit Card Payment,63.14,debit,Silver Card,Paycheck
Biweekly Paycheck,48.86,debit,Platinum Card,Food & Drink
Credit Card Payment,137.08,debit,Platinum Card,Food & Drink
Grocery Store,71.44,credit,Checking,Food & Drink
Grocery Store,64.77,debit,Silver Card,Housing
Credit Card Payment,134.2,debit,Checking,Food & Drink
Hardware Store,80.18,credit,Platinum Card,Food & Drink
American Tavern,93.56,debit,Checking,Paycheck
Amazon,9.9,debit,Silver Card,Paycheck
Grocery Store,144.45,credit,Platinum Card,Haircut
Thai Restaurant,6.78,credit,Silver Card,Credit Card Payment
Credit Card Payment,140.24,credit,Platinum Card,Food & Drink
Grocery Store,122.95,credit,Platinum Card,Food & Drink
Biweekly Paycheck,92.4,debit,Silver Card,Food & Drink
Brewing Company,14.0,debit,Silver Card,Food & Drink
Barbershop,144.77,credit,Platinum Card,Food & Drink
Credit Card Payment,360.56,credit,Silver Card,Credit Card Payment
Phone Company,154.1,credit,Checking,Utilities & Services
Starbucks,123.15,credit,Platinum Card,Credit Card Payment
Credit Card Payment,124.74,debit,Platinum Card,Food & Drink
Internet Service Provider,133.8,credit,Platinum Card,Food & Drink
Roadside Diner,24.33,debit,Platinum Card,Paycheck
Netflix,49.32,debit,Platinum Card,Entertainment
Mortgage Payment,10.83,debit,Platinum Card,Food & Drink
Netflix,135.14,credit,Checking,Utilities & Services
Grocery Store,26.19,credit,Checking,Food & Drink
Phone Company,135.46,credit,Platinum Card,Food & Drink
Grocery Store,108.83,credit,Platinum Card,Credit Card Payment
Credit Card Payment,43.49,credit,Silver Card,Food & Drink
Amazon,164.92,debit,Platinum Card,Entertainment
Brunch Restaurant,23.23,debit,Checking,Housing
Biweekly Paycheck,63.4,credit,Platinum Card,Housing
Grocery Store,13.36,debit,Platinum Card,Food & Drink
Amazon,197.06,credit,Platinum Card,Food & Drink
Shell,74.19,debit,Checking,Utilities & Services
Pizza Place,1.38,credit,Checking,Utilities & Services
American Tavern,128.08,credit,Checking,Paycheck
Sushi Restaurant,55.5,debit,Platinum Card,Food & Drink
Greek Restaurant,149.88,credit,Platinum Card,Credit Card Payment
Power Company,112.1,debit,Platinum Card,Transportation
Mexican Restaurant,71.0,credit,Platinum Card,Entertainment
Grocery Store,113.21,credit,Silver Card,Utilities & Services
Brewing Company,47.4,debit,Platinum Card,Food & Drink
Seafood Restaurant,69.08,credit,Platinum Card,Transportation
American Tavern,53.47,credit,Platinum Card,Utilities & Services
Grocery Store,121.88,debit,Checking,Shopping
American Tavern,2.19,debit,Silver Card,Food & Drink
Hardware Store,30.99,debit,Platinum Card,Housing
Gas Company,197.88,debit,Platinum Card,Food & Drink
Grocery Store,174.29,debit,Platinum Card,Credit Card Payment
Brewing Company,170.58,debit,Checking,Shopping
New York Deli,64.47,debit,Platinum Card,Shopping
Credit Card Payment,111.18,debit,Platinum Card,Food & Drink
Spotify,159.81,credit,Checking,Entertainment
Grocery Store,115.4,debit,Checking,Transportation
Hardware Store,45.97,debit,Platinum Card,Shopping
Biweekly Paycheck,177.66,credit,Silver Card,Housing
Chevron,4.58,debit,Platinum Card,Transportation
Spotify,183.68,credit,Checking,Food & Drink
Fancy Restaurant,102.96,credit,Silver Card,Food & Drink
Amazon,129.6,credit,Platinum Card,Utilities & Services
Barbershop,30.3,debit,Platinum Card,Shopping
State Farm,60.35,credit,Checking,Food & Drink
City Water Charges,65.7,debit,Checking,Shopping
Starbucks,143.95,debit,Platinum Card,Food & Drink
Power Company,69.25,debit,Platinum Card,Utilities & Services
American Tavern,10.66,debit,Platinum Card,Food & Drink
Credit Card Payment,173.74,credit,Platinum Card,Entertainment
Credit Card Payment,134.34,credit,Platinum Card,Credit Card Payment
Shell,43.75,credit,Platinum Card,Credit Card Payment
Grocery Store,142.67,credit,Platinum Card,Credit Card Payment
Credit Card Payment,50.37,credit,Checking,Transportation
Spotify,101.09,debit,Silver Card,Food & Drink
American Tavern,152.07,debit,Silver Card,Food & Drink
Best Buy,103.56,debit,Checking,Food & Drink
QuikTrip,15.34,credit,Platinum Card,Utilities & Services
BP,194.01,credit,Checking,Utilities & Services
Fancy Restaurant,47.07,credit,Platinum Card,Food & Drink
Biweekly Paycheck,136.88,credit,Checking,Food & Drink
Credit Card Payment,159.77,credit,Platinum Card,Paycheck
QuikTrip,60.45,debit,Checking,Food & Drink
Starbucks,2.87,credit,Silver Card,Credit Card Payment
Grocery Store,17.07,credit,Checking,Food & Drink
Gas Company,12.93,debit,Silver Card,Haircut
Mediterranean Restaurant,130.27,debit,Platinum Card,Housing
Gas Company,11.76,debit,Platinum Card,Credit Card Payment
Credit Card Payment,154.13,credit,Silver Card,Credit Card Payment
Barbershop,134.44,credit,Silver Card,Housing
Amazon,38.61,credit,Platinum Card,Transportation
Phone Company,67.84,credit,Silver Card,Food & Drink
Movie Theater,199.97,credit,Checking,Food & Drink
Gas Company,47.15,debit,Platinum Card,Food & Drink
Hardware Store,69.78,debit,Platinum Card,Utilities & Services
Valero,40.71,debit,Platinum Card,Transportation
Starbucks,3.0,debit,Platinum Card,Food & Drink
American Tavern,131.51,credit,Silver Card,Housing
Hardware Store,132.84,debit,Platinum Card,Paycheck
Power Company,162.8,credit,Platinum Card,Utilities & Services
Credit Card Payment,190.9,debit,Silver Card,Utilities & Services
Thai Restaurant,24.22,debit,Silver Card,Food & Drink
Netflix,106.61,credit,Checking,Utilities & Services
Credit Card Payment,59.1,credit,Platinum Card,Housing
BP,97.76,debit,Checking,Housing
City Water Charges,92.84,debit,Platinum Card,Utilities & Services
Starbucks,5.2,debit,Platinum Card,Food & Drink
Pizza Place,78.39,debit,Platinum Card,Transportation
Grocery Store,169.04,credit,Platinum Card,Food & Drink
Best Buy,128.69,credit,Silver Card,Paycheck
Brunch Restaurant,145.58,credit,Platinum Card,Food & Drink
Grocery Store,10.7,debit,Platinum Card,Food & Drink
Netflix,48.3,credit,Checking,Food & Drink
Amazon,59.06,debit,Silver Card,Entertainment
Mike's Construction Co.,55.73,debit,Platinum Card,Shopping
Amazon,153.41,debit,Platinum Card,Transportation
Mike's Construction Co.,110.78,credit,Platinum Card,Food & Drink
Credit Card Payment,169.2,credit,Platinum Card,Paycheck
American Tavern,121.92,debit,Checking,Entertainment
Netflix,131.19,debit,Platinum Card,Food & Drink
